"cID" "DRUGS"
"1" 40 "(+)-chelidonine"
"2" 69 "(+)-isoprenaline"
"3" 97 "(+/-)-catechin"
"4" 90 "(-)-MK-801"
"5" 102 "(-)-atenolol"
"6" 48 "(-)-catechin"
"7" 73 "(-)-isoprenaline"
"8" 21 "0173570-0000"
"9" 32 "0175029-0000"
"10" 62 "0179445-0000"
"11" 19 "0198306-0000"
"12" 100 "0225151-0000"
"13" 100 "0297417-0002B"
"14" 19 "0316684-0000"
"15" 20 "0317956-0000"
"16" 40 "1,4-chrysenequinone"
"17" 60 "1,5-isoquinolinediol"
"18" 5 "10-methoxyharmalan"
"19" 9 "11-deoxy-16,16-dimethylprostaglandin_E2"
"20" 48 "12,13-EODE"
"21" 10 "15(S)-15-methylprostaglandin_E2"
"22" 104 "15-delta_prostaglandin_J2"
"23" 19 "16,16-dimethylprostaglandin_E2"
"24" 9 "16-phenyltetranorprostaglandin_E2"
"25" 32 "2,6-dimethylpiperidine"
"26" 57 "2-aminobenzenesulfonamide"
"27" 1 "2-deoxy-D-glucose"
"28" 72 "3-acetamidocoumarin"
"29" 58 "3-acetylcoumarin"
"30" 2 "3-aminobenzamide"
"31" 48 "3-hydroxy-DL-kynurenine"
"32" 18 "3-nitropropionic_acid"
"33" 49 "4,5-dianilinophthalimide"
"34" 2 "4-hydroxyphenazone"
"35" 3 "5109870"
"36" 4 "5114445"
"37" 5 "5140203"
"38" 6 "5149715"
"39" 7 "5151277"
"40" 6 "5152487"
"41" 104 "5155877"
"42" 7 "5162773"
"43" 3 "5182598"
"44" 6 "5186223"
"45" 7 "5186324"
"46" 104 "5194442"
"47" 3 "5211181"
"48" 7 "5213008"
"49" 40 "5224221"
"50" 40 "5230742"
"51" 3 "5248896"
"52" 48 "5252917"
"53" 40 "5253409"
"54" 3 "5255229"
"55" 3 "5279552"
"56" 4 "5286656"
"57" 100 "5666823"
"58" 62 "5707885"
"59" 8 "6-azathymine"
"60" 89 "6-benzylaminopurine"
"61" 19 "6-bromoindirubin-3-oxime"
"62" 68 "7-aminocephalosporanic_acid"
"63" 89 "8-azaguanine"
"64" 19 "AG-012559"
"65" 19 "AG-013608"
"66" 5 "AG-028671"
"67" 19 "AH-23848"
"68" 19 "AH-6809"
"69" 6 "AR-A014418"
"70" 7 "BAS-012416453"
"71" 9 "BCB000038"
"72" 10 "BCB000039"
"73" 10 "BCB000040"
"74" 100 "BW-B70C"
"75" 104 "C-75"
"76" 19 "CAY-10397"
"77" 10 "CP-319743"
"78" 11 "CP-320650-01"
"79" 100 "CP-645525-01"
"80" 11 "CP-690334-01"
"81" 70 "CP-863187"
"82" 9 "CP-944629"
"83" 12 "Chicago_Sky_Blue_6B"
"84" 48 "DL-PPMP"
"85" 13 "DL-thiorphan"
"86" 104 "F0447-0125"
"87" 14 "GW-8510"
"88" 15 "Gly-His-Lys"
"89" 14 "H-7"
"90" 19 "H-89"
"91" 16 "HC_toxin"
"92" 51 "HNMPA-(AM)3"
"93" 9 "IC-86621"
"94" 95 "L-methionine_sulfoximine"
"95" 62 "LM-1685"
"96" 16 "LY-294002"
"97" 40 "MG-132"
"98" 40 "MG-262"
"99" 43 "MK-886"
"100" 14 "MS-275"
"101" 5 "N-acetyl-L-aspartic_acid"
"102" 89 "N-acetyl-L-leucine"
"103" 47 "N-acetylmuramic_acid"
"104" 90 "N-phenylanthranilic_acid"
"105" 60 "N6-methyladenosine"
"106" 23 "NS-398"
"107" 17 "NU-1025"
"108" 29 "PF-00539745-00"
"109" 48 "PF-00539758-00"
"110" 19 "PF-00562151-00"
"111" 40 "PF-00875133-00"
"112" 18 "PF-01378883-00"
"113" 19 "PHA-00665752"
"114" 11 "PHA-00745360"
"115" 19 "PHA-00767505E"
"116" 19 "PHA-00816795"
"117" 40 "PHA-00846566E"
"118" 20 "PHA-00851261E"
"119" 21 "PNU-0230031"
"120" 21 "PNU-0251126"
"121" 21 "PNU-0293363"
"122" 22 "Prestwick-1080"
"123" 7 "Prestwick-1082"
"124" 82 "Prestwick-1083"
"125" 90 "Prestwick-1084"
"126" 71 "Prestwick-1085"
"127" 22 "Prestwick-1100"
"128" 38 "Prestwick-1103"
"129" 61 "Prestwick-559"
"130" 92 "Prestwick-642"
"131" 32 "Prestwick-664"
"132" 32 "Prestwick-665"
"133" 90 "Prestwick-674"
"134" 6 "Prestwick-675"
"135" 36 "Prestwick-682"
"136" 58 "Prestwick-685"
"137" 42 "Prestwick-689"
"138" 105 "Prestwick-691"
"139" 27 "Prestwick-692"
"140" 97 "Prestwick-857"
"141" 52 "Prestwick-860"
"142" 30 "Prestwick-864"
"143" 41 "Prestwick-920"
"144" 67 "Prestwick-967"
"145" 35 "Prestwick-972"
"146" 54 "Prestwick-981"
"147" 106 "Prestwick-983"
"148" 22 "Prestwick-984"
"149" 89 "R-atenolol"
"150" 100 "S-propranolol"
"151" 19 "SB-202190"
"152" 23 "SB-203580"
"153" 23 "SC-19220"
"154" 23 "SC-560"
"155" 60 "SC-58125"
"156" 31 "SR-95531"
"157" 12 "SR-95639A"
"158" 19 "STOCK1N-28457"
"159" 104 "STOCK1N-35215"
"160" 19 "STOCK1N-35696"
"161" 15 "STOCK1N-35874"
"162" 98 "TTNPB"
"163" 61 "Trolox_C"
"164" 24 "U0125"
"165" 94 "W-13"
"166" 40 "Y-27632"
"167" 62 "abamectin"
"168" 32 "acacetin"
"169" 60 "acebutolol"
"170" 6 "aceclofenac"
"171" 37 "acemetacin"
"172" 76 "acenocoumarol"
"173" 90 "acepromazine"
"174" 25 "acetazolamide"
"175" 74 "acetohexamide"
"176" 32 "acetylsalicylic_acid"
"177" 76 "acetylsalicylsalicylic_acid"
"178" 26 "aciclovir"
"179" 16 "aconitine"
"180" 19 "adenosine_phosphate"
"181" 27 "adiphenine"
"182" 86 "adipiodone"
"183" 90 "adrenosterone"
"184" 42 "ajmaline"
"185" 100 "albendazole"
"186" 19 "alclometasone"
"187" 59 "alcuronium_chloride"
"188" 100 "alexidine"
"189" 35 "alfadolone"
"190" 82 "alfaxalone"
"191" 73 "alfuzosin"
"192" 100 "alimemazine"
"193" 41 "allantoin"
"194" 11 "alpha-ergocryptine"
"195" 49 "alpha-estradiol"
"196" 13 "alpha-yohimbine"
"197" 19 "alprenolol"
"198" 106 "alprostadil"
"199" 14 "alsterpaullone"
"200" 89 "altizide"
"201" 102 "altretamine"
"202" 90 "alverine"
"203" 28 "alvespimycin"
"204" 36 "amantadine"
"205" 29 "ambroxol"
"206" 29 "amikacin"
"207" 69 "amiloride"
"208" 35 "aminocaproic_acid"
"209" 5 "aminoglutethimide"
"210" 58 "aminohippuric_acid"
"211" 34 "aminophenazone"
"212" 90 "aminophylline"
"213" 90 "amiodarone"
"214" 30 "amiprilose"
"215" 100 "amitriptyline"
"216" 60 "amodiaquine"
"217" 100 "amoxapine"
"218" 32 "amoxicillin"
"219" 100 "amphotericin_B"
"220" 7 "ampicillin"
"221" 31 "amprolium"
"222" 42 "ampyrone"
"223" 7 "amrinone"
"224" 97 "amylocaine"
"225" 90 "anabasine"
"226" 88 "androsterone"
"227" 53 "anisomycin"
"228" 1 "antazoline"
"229" 62 "antimycin_A"
"230" 32 "apigenin"
"231" 3 "apomorphine"
"232" 90 "apramycin"
"233" 78 "arachidonic_acid"
"234" 1 "arachidonyltrifluoromethane"
"235" 99 "arcaine"
"236" 33 "arecoline"
"237" 4 "artemisinin"
"238" 35 "articaine"
"239" 5 "ascorbic_acid"
"240" 79 "asiaticoside"
"241" 34 "astemizole"
"242" 99 "atovaquone"
"243" 38 "atractyloside"
"244" 25 "atracurium_besilate"
"245" 13 "atropine"
"246" 35 "atropine_methonitrate"
"247" 34 "atropine_oxide"
"248" 14 "azacitidine"
"249" 62 "azacyclonol"
"250" 85 "azaperone"
"251" 86 "azapropazone"
"252" 5 "azathioprine"
"253" 5 "azlocillin"
"254" 64 "aztreonam"
"255" 47 "bacampicillin"
"256" 54 "bacitracin"
"257" 5 "baclofen"
"258" 60 "bambuterol"
"259" 92 "beclometasone"
"260" 52 "bemegride"
"261" 52 "bendroflumethiazide"
"262" 19 "benfluorex"
"263" 50 "benfotiamine"
"264" 95 "benperidol"
"265" 94 "benserazide"
"266" 62 "benzamil"
"267" 72 "benzathine_benzylpenicillin"
"268" 67 "benzbromarone"
"269" 100 "benzethonium_chloride"
"270" 36 "benzocaine"
"271" 25 "benzonatate"
"272" 58 "benzthiazide"
"273" 7 "benzydamine"
"274" 85 "benzylpenicillin"
"275" 52 "bephenium_hydroxynaphthoate"
"276" 100 "bepridil"
"277" 4 "berberine"
"278" 5 "bergenin"
"279" 90 "beta-escin"
"280" 52 "betahistine"
"281" 5 "betamethasone"
"282" 42 "betaxolol"
"283" 40 "betazole"
"284" 87 "bethanechol"
"285" 66 "betonicine"
"286" 79 "betulin"
"287" 43 "betulinic_acid"
"288" 90 "bezafibrate"
"289" 92 "bicuculline"
"290" 102 "biotin"
"291" 81 "biperiden"
"292" 63 "bisacodyl"
"293" 5 "bisoprolol"
"294" 3 "blebbistatin"
"295" 29 "boldine"
"296" 90 "bretylium_tosilate"
"297" 7 "brinzolamide"
"298" 73 "bromocriptine"
"299" 14 "bromopride"
"300" 4 "bromperidol"
"301" 12 "brompheniramine"
"302" 2 "bucladesine"
"303" 61 "budesonide"
