SYNONYMS,ATC_CODE,ATC_CODE_DESCRIPTION,INDICATION_CLASS
"Dimetacrine (INN, MI);",N06AA18,N06AA18 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Non-selective monoamine reuptake inhibitors],
"Malathion (BAN, FDA, USP);",P03AX03,"P03AX03 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS: ECTOPARASITICIDES, INCL. SCABICIDES: Other ectoparasiticides, incl. scabicides]",Pediculicide
"Mephentermine (BAN, INN); Mephentermine Sulfate (FDA, USP);",C01CA11,C01CA11 [CARDIOVASCULAR SYSTEM: CARDIAC THERAPY: CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES: Adrenergic and dopaminergic agents],Adrenergic (vasoconstrictor)
"Iopamidol (BAN, FDA, INN, JAN, USAN, USP);",V08AB04,"V08AB04 [VARIOUS: CONTRAST MEDIA: X-RAY CONTRAST MEDIA, IODINATED: Watersoluble, nephrotropic, low osmolar X-ray contrast media]",Diagnostic Aid (radiopaque medium)
"Ammonium Chloride (FDA, JAN, USP);",G04BA01; B05XA04,G04BA01 [GENITO URINARY SYSTEM AND SEX HORMONES: UROLOGICALS: UROLOGICALS: Acidifiers]; B05XA04 [BLOOD AND BLOOD FORMING ORGANS: BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS: I.V. SOLUTION ADDITIVES: Electrolyte solutions],Acidifier; Diuretic
"Halcinonide (BAN, FDA, INN, JAN, USAN, USP);",D07AD02,"D07AD02 [DERMATOLOGICALS: CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS: CORTICOSTEROIDS, PLAIN: Corticosteroids, very potent (group IV)]",Anti-Inflammatory (topical)
"Megestrol (BAN, INN); Megestrol Acetate (FDA, USAN, USP);",L02AB01; G03AC05; G03DB02,L02AB01 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ENDOCRINE THERAPY: HORMONES AND RELATED AGENTS: Progestogens]; G03AC05 [GENITO URINARY SYSTEM AND SEX HORMONES: SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM: HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE: Progestogens]; G03DB02 [GENITO URINARY SYSTEM AND SEX HORMONES: SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM: PROGESTOGENS: Pregnadien derivatives],Antineoplastic
"Narlaprevir (INN, USAN);",,,
Racepinephrine HCl (USP); Racepinephrine (USP); Racepinefrine (INN);,,,Bronchodilator
Bithionoloxide (INN);,,,
"Thymol Iodide (MI, NF);",,,
"Salazosulfathiazole (DCF, INN);",,,
"Allyl Isothiocyanate (USAN, USP);",,,
"Fenticlor (BAN, INN, USAN);",,,"Anti-Infective, Topical"
"Methylpentynol (BAN, DCF, INN); Meparfynol (MI);",N05CM15; N05CX03,"N05CM15 [NERVOUS SYSTEM: PSYCHOLEPTICS: HYPNOTICS AND SEDATIVES: Other hypnotics and sedatives]; N05CX03 [NERVOUS SYSTEM: PSYCHOLEPTICS: HYPNOTICS AND SEDATIVES: Hypnotics and sedatives in combination, excl. barbiturates]",
"Glyprothiazol (DCF, INN);",,,
"Orotic Acid (BAN, INN, JAN, MI);",,,
Icofungipen (INN);,,,
"Thioproperazine (BAN, INN); Thioproperazine Dimethanesulfonate (JAN); Thioproperazine Mesylate (MI);",N05AB08,N05AB08 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANTIPSYCHOTICS: Phenothiazines with piperazine structure],
Miocamycin,J01FA11,"J01FA11 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS: Macrolides]",
Trypan blue (FDA);,,,
"Niraparib (FDA, INN, USAN);",,,
"Mycophenolate mofetil (FDA, USAN); Mycophenolate Mofetil HCl (FDA, USAN);",,,Immunomodulator
"Solithromycin (INN, USAN);",J01FA16,"J01FA16 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS: Macrolides]",
"Saxagliptin HCl (FDA); Saxagliptin (INN, USAN, USAN);",A10BH03,"A10BH03 [ALIMENTARY TRACT AND METABOLISM: DRUGS USED IN DIABETES: BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS: Dipeptidyl peptidase 4 (DPP-4) inhibitors]",
"Forodesine (INN, USAN); Forodesine HCl (USAN);",,,
"Pranoprofen (INN, JAN, MI);",S01BC09,"S01BC09 [SENSORY ORGANS: OPHTHALMOLOGICALS: ANTIINFLAMMATORY AGENTS: Antiinflammatory agents, non-steroids]",
"Biperiden (BAN, INN, JAN, USP); Biperiden HCl (BAN, FDA, JAN, USP); Biperiden Lactate (BAN, FDA, JAN, USP);",N04AA02,N04AA02 [NERVOUS SYSTEM: ANTI-PARKINSON DRUGS: ANTICHOLINERGIC AGENTS: Tertiary amines],"Anticholinergic; Antiparkinsonian,Antiparkinsonian; Anticholinergic"
