"K","IncDrugs","EnrichedClusters","Percentage","EnrichedClustersDT","PercentageDT","Pval_ATC","Pval_DT"
106,1309,20,18.87,2,1.89,0.440569584079754,0.29141082272235
106,1309,15,14.15,8,7.55,0.0183509048364943,0.907285915022404
106,1309,17,16.04,6,5.66,0.614401114605851,0.487362119154729
106,1309,12,11.32,10,9.43,0.848890012025367,0.604600018509481
106,1309,13,12.26,0,0,0.497704513282783,0.643829062400587
106,1309,11,10.38,8,7.55,0.978147491464801,0.83598715410263
106,1309,10,9.43,1,0.94,0.925999970935837,0.675253590432843
106,1309,10,9.43,1,0.94,0.711393252795982,0.768793122352527
106,1309,13,12.26,6,5.66,0.659550700051589,0.107017321475522
106,1309,16,15.09,6,5.66,0.739701410309906,0.889613830553473
106,1309,11,10.38,11,10.38,0.967452941353451,0.00197327991324889
106,1309,16,15.09,2,1.89,0.146374352048475,0.929331816480606
106,1309,15,14.15,4,3.77,0.706631945329761,0.165495109894023
106,1309,18,16.98,7,6.6,0.350342950853965,0.359588394798041
106,1309,13,12.26,7,6.6,0.811414475167061,0.867617145846429
106,1309,17,16.04,15,14.15,0.802219020405897,0.0230864095743138
106,1309,21,19.81,17,16.04,0.0242579392641747,0.300623686872365
106,1309,11,10.38,9,8.49,0.675478850605493,0.0243072778012895
106,1309,16,15.09,7,6.6,0.66860677788416,0.64542172380414
106,1309,15,14.15,13,12.26,0.86574703208019,0.296952797386909
106,1309,13,12.26,14,13.21,0.402942845094014,0.563046314783696
106,1309,21,19.81,4,3.77,0.363951649841025,0.904156227359351
106,1309,15,14.15,7,6.6,0.151842993253801,0.424600328061541
106,1309,18,16.98,13,12.26,0.274893932286565,0.19989488393752
106,1309,20,18.87,9,8.49,0.511014236075873,0.258552215538965
106,1309,16,15.09,10,9.43,0.783429175444353,0.269987446775544
106,1309,18,16.98,14,13.21,0.250592457946341,0.106977964774202
106,1309,16,15.09,0,0,0.000473034801544178,0.0401414631313094
106,1309,13,12.26,10,9.43,0.745988366501352,0.0437197906730811
106,1309,13,12.26,6,5.66,0.847035790186228,0.738237408001913
106,1309,16,15.09,11,10.38,0.540161874841281,0.53954373421599
106,1309,14,13.21,11,10.38,0.518142886364835,0.084171696928708
106,1309,15,14.15,7,6.6,0.389431945569033,0.130996944868382
106,1309,20,18.87,10,9.43,0.0404420457900298,0.956825452576861
106,1309,16,15.09,13,12.26,0.472753010899186,0.16241549039322
106,1309,15,14.15,2,1.89,0.73050440552573,0.999728021474595
106,1309,20,18.87,9,8.49,0.296774938172593,0.37396294711916
106,1309,10,9.43,5,4.72,0.97090102447006,0.839043705766003
106,1309,17,16.04,13,12.26,0.617659761488128,0.264526607802268
106,1309,17,16.04,4,3.77,0.47960658361547,0.36417537739355
106,1309,16,15.09,5,4.72,0.610077363392585,0.65899445501955
106,1309,16,15.09,4,3.77,0.390736225265919,0.400952209878623
106,1309,15,14.15,11,10.38,0.879572246123643,0.147798819007258
106,1309,12,11.32,7,6.6,0.590982495646717,0.728796412389775
106,1309,17,16.04,1,0.94,0.651966239242409,0.056066368338216
106,1309,13,12.26,8,7.55,0.768232010578309,0.851308594140042
106,1309,17,16.04,3,2.83,0.00151179379160691,0.772876704246723
106,1309,21,19.81,3,2.83,0.106789945409578,0.9583345445917
106,1309,16,15.09,1,0.94,0.180351958221086,0.316518799627363
106,1309,16,15.09,4,3.77,0.786051025024698,0.987399452833687
106,1309,16,15.09,5,4.72,0.815308386493668,0.81068204960966
106,1309,13,12.26,5,4.72,0.783429175444353,0.932446801437953
106,1309,13,12.26,16,15.09,0.978061156160997,0.613941783036426
106,1309,14,13.21,15,14.15,0.324966063597091,0.801125504718119
106,1309,19,17.92,6,5.66,0.600372613583467,0.660612554803928
106,1309,17,16.04,11,10.38,0.588248994137292,0.621577830193671
106,1309,19,17.92,9,8.49,0.289740148527386,0.160264096930564
106,1309,13,12.26,5,4.72,0.568871535299676,0.093690178277148
106,1309,12,11.32,7,6.6,0.548937455259317,0.347611854913714
106,1309,17,16.04,16,15.09,0.850199912399152,0.28139977782325
106,1309,14,13.21,3,2.83,0.958761277662127,0.822115402245229
106,1309,18,16.98,15,14.15,0.149633490615183,0.360404965360242
106,1309,13,12.26,6,5.66,0.400996476909735,0.545422105257905
106,1309,16,15.09,7,6.6,0.0131393225971336,0.0712823562472362
106,1309,17,16.04,10,9.43,0.843678699319363,0.495063244650132
106,1309,21,19.81,12,11.32,0.242847312852201,0.276017701147343
106,1309,13,12.26,8,7.55,0.558715080737809,0.41371036626563
106,1309,19,17.92,13,12.26,0.206514626649977,0.0584197094129582
106,1309,17,16.04,8,7.55,0.146656271013742,0.667863702436827
106,1309,12,11.32,8,7.55,0.385532656943065,0.356380212313982
106,1309,19,17.92,0,0,0.596038754525747,0.93687376165212
106,1309,12,11.32,2,1.89,0.645071695500866,0.426609801147023
106,1309,15,14.15,17,16.04,0.800384438302329,0.448750498036532
106,1309,17,16.04,8,7.55,0.963078021953136,0.946916325570505
106,1309,7,6.6,1,0.94,0.986056055399964,0.919370279472806
106,1309,11,10.38,11,10.38,0.874563610134946,0.783851156378211
106,1309,18,16.98,15,14.15,0.462146963294906,0.461088732139281
106,1309,17,16.04,7,6.6,0.624270201243542,0.718824524016689
106,1309,16,15.09,0,0,0.302373163314271,0.637600853505744
106,1309,22,20.75,7,6.6,0.0892288318211197,0.412686821771185
106,1309,14,13.21,9,8.49,0.94355535920303,0.853728818997559
106,1309,24,22.64,12,11.32,0.0560135681134623,0.05892385653627
106,1309,17,16.04,12,11.32,0.440937071678715,0.780148080500028
106,1309,16,15.09,13,12.26,0.760384004796226,0.942501643039892
106,1309,14,13.21,12,11.32,0.717300764559708,0.490641426494118
106,1309,13,12.26,1,0.94,0.891671871342052,0.858633740226389
106,1309,7,6.6,10,9.43,0.733579037066422,0.370050120996418
106,1309,16,15.09,15,14.15,0.678222472002374,0.348186596252167
106,1309,12,11.32,6,5.66,0.947941731599663,0.406787552898451
106,1309,13,12.26,6,5.66,0.730587654947494,0.758062547892974
106,1309,17,16.04,16,15.09,0.638962467327632,0.712957716411143
106,1309,22,20.75,8,7.55,0.45048491378121,0.817798075518228
106,1309,11,10.38,1,0.94,0.977137387576717,0.938050133865088
106,1309,18,16.98,10,9.43,0.525569778286847,0.13587355255837
106,1309,19,17.92,2,1.89,0.183336657523759,0.0445471177192181
106,1309,10,9.43,8,7.55,0.437963644258227,0.586178603035822
106,1309,10,9.43,3,2.83,0.671480996541995,0.979189619891645
106,1309,13,12.26,4,3.77,0.767544027381273,0.728496188947179
106,1309,14,13.21,13,12.26,0.819830551569756,0.161046070616451
106,1309,20,18.87,12,11.32,0.209448934570984,0.0499747770604417
106,1309,17,16.04,15,14.15,0.226308798223461,0.476520737212722
106,1309,12,11.32,6,5.66,0.84794381972112,0.438137034046666
106,1309,15,14.15,2,1.89,0.605798359574637,0.228256696446897
106,1309,17,16.04,3,2.83,0.472692481597623,0.706429753644279
106,1309,17,16.04,6,5.66,0.680144752131584,0.985755819014733
106,1309,14,13.21,4,3.77,0.779812158462106,0.853728818997559
106,1309,17,16.04,9,8.49,0.944996454300413,0.999644037894384
106,1309,13,12.26,12,11.32,0.954576098305476,0.802343101570111
106,1309,12,11.32,5,4.72,0.495446344516987,0.546837660568217
106,1309,14,13.21,6,5.66,0.387735619012621,0.647481956735307
106,1309,13,12.26,5,4.72,0.915323023194268,0.788238780008775
106,1309,21,19.81,6,5.66,0.187485407267257,0.783851156378211
106,1309,11,10.38,2,1.89,0.745032082989265,0.698153670687659
106,1309,13,12.26,9,8.49,0.933179393383917,0.960309634396489
106,1309,15,14.15,7,6.6,0.0306330191139198,0.743692138824098
106,1309,14,13.21,10,9.43,0.223105722980966,0.129135785983215
106,1309,15,14.15,16,15.09,0.739162004528267,0.194802796570106
106,1309,15,14.15,2,1.89,0.81939881769192,0.718388046903882
106,1309,15,14.15,8,7.55,0.0258320561512735,0.731589270445237
106,1309,17,16.04,0,0,0.563668224016735,0.863529886942136
106,1309,15,14.15,9,8.49,0.106773517904267,0.614245426232815
106,1309,14,13.21,4,3.77,0.850668775602175,0.806449547487978
106,1309,17,16.04,8,7.55,0.812732925531172,0.69796175027975
106,1309,16,15.09,9,8.49,0.617136252522786,0.999639803416471
106,1309,19,17.92,12,11.32,0.038698251335852,0.240775834143416
106,1309,13,12.26,6,5.66,0.992619182874703,0.935035104317714
106,1309,24,22.64,9,8.49,0.101040707888438,0.145728010746274
106,1309,13,12.26,7,6.6,0.873102647012482,0.864844360859798
106,1309,11,10.38,9,8.49,0.961420146646894,0.704235710498333
106,1309,15,14.15,7,6.6,0.172900514816259,0.984925339928275
106,1309,18,16.98,9,8.49,0.393915234867198,0.363296848772638
106,1309,13,12.26,4,3.77,0.93408562240532,0.283767864301836
106,1309,13,12.26,14,13.21,0.668195521211262,0.778219435240386
106,1309,12,11.32,7,6.6,0.88510609652558,0.879246839281626
106,1309,11,10.38,12,11.32,0.859382920835276,0.35131006754394
106,1309,12,11.32,6,5.66,0.357960157791766,0.441605656069974
106,1309,12,11.32,8,7.55,0.620497658701095,0.123409274753727
106,1309,15,14.15,9,8.49,0.545219841288689,0.346466866152217
106,1309,12,11.32,6,5.66,0.976942474898105,0.540090084308348
106,1309,16,15.09,6,5.66,0.433931839516511,0.566925854307665
106,1309,13,12.26,6,5.66,0.682113601526828,0.787212355885303
106,1309,12,11.32,14,13.21,0.454958579519524,0.855350690818931
106,1309,12,11.32,11,10.38,0.807919758509149,0.313650843689416
106,1309,11,10.38,9,8.49,0.981499366345401,0.233920463185246
106,1309,11,10.38,0,0,0.554152253620866,0.657151202326718
106,1309,12,11.32,7,6.6,0.287303954003361,0.047952355980455
106,1309,18,16.98,13,12.26,0.0768960143604478,0.464098749058958
106,1309,27,25.47,13,12.26,0.0228099192334059,0.157619338515957
106,1309,9,8.49,3,2.83,0.833022846293954,0.886597604178641
106,1309,10,9.43,2,1.89,0.984486490182793,0.908014467358451
106,1309,19,17.92,3,2.83,0.493820223344724,0.911795161538315
106,1309,12,11.32,8,7.55,0.631259349256012,0.105201202544874
106,1309,16,15.09,10,9.43,0.367559425229656,0.63043540084884
106,1309,16,15.09,7,6.6,0.759005686174055,0.674896009199625
106,1309,11,10.38,7,6.6,0.681152622823136,0.228241083914441
106,1309,16,15.09,18,16.98,0.688718918351865,0.759231090006006
106,1309,19,17.92,9,8.49,0.0727991136734004,0.468882973562887
106,1309,11,10.38,12,11.32,0.928218973626836,0.353992699382512
106,1309,19,17.92,8,7.55,0.773485623996474,0.793376389402175
106,1309,15,14.15,4,3.77,0.0727924954186362,0.417763932967908
106,1309,14,13.21,10,9.43,0.113643003186221,0.0446828424316082
106,1309,18,16.98,8,7.55,0.796466341414653,0.864447754999018
106,1309,24,22.64,14,13.21,0.00156124606071652,0.25203471627314
106,1309,9,8.49,4,3.77,0.510322880072648,0.101043760423079
