"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"K",10,27,49,70,88,105,109,121,132,136,144,147,152,148,151,152,153,157,155,156,155,156,155,158,157,160,159,156,156
"IncDrugs",1294,1289,1278,1269,1262,1243,1212,1190,1161,1128,1093,1057,1030,987,966,932,908,891,874,848,824,806,784,772,756,745,730,714,705
"EnrichedClusters",0,0,5,6,8,8,6,9,9,7,7,8,8,8,8,8,8,10,9,11,9,9,10,11,10,10,11,11,10
"Percentage",0,0,10.2,8.57,9.09,7.62,5.5,7.44,6.82,5.15,4.86,5.44,5.26,5.41,5.3,5.26,5.23,6.37,5.81,7.05,5.81,5.77,6.45,6.96,6.37,6.25,6.92,7.05,6.41
"EnrichedClustersDT",0,0,2,1,3,2,3,2,4,2,2,4,4,5,5,5,5,6,6,5,4,4,4,4,4,4,5,5,5
"PercentageDT",0,0,4.08,1.43,3.41,1.9,2.75,1.65,3.03,1.47,1.39,2.72,2.63,3.38,3.31,3.29,3.27,3.82,3.87,3.21,2.58,2.56,2.58,2.53,2.55,2.5,3.14,3.21,3.21
"Pval_ATC",0.160649173061378,0.267300311564958,0.00552408473742371,0.000266468079762221,0.000843634531138451,6.67898129808048e-05,0.0567713297103805,0.000662763817395922,4.52971419341235e-06,7.06023001127518e-07,9.84887577459463e-09,5.66200205184265e-09,2.02445003257228e-07,8.88163675397249e-09,5.66596987944009e-13,3.17234819597116e-14,2.23975166762242e-16,7.60549320957679e-17,1.7009810264247e-17,6.13067788545277e-20,3.07345655401238e-17,7.85093920361598e-19,5.26550277314087e-18,1.67653381985832e-20,8.17206938348606e-22,1.26095084918074e-21,2.58235128688081e-24,8.07056460795553e-22,1.34106354134144e-22
"Pval_DT",1.87081847168045e-05,0.00888444715058011,2.00965871108865e-06,7.75544094864835e-11,1.70307897606719e-09,5.59982878282347e-12,7.35624882659752e-08,6.28501595158016e-10,1.09966578118502e-13,6.06475908898188e-14,1.24165688531687e-13,2.23780982517145e-15,2.3861487331029e-12,9.0409799381644e-15,6.49322599062708e-14,7.0707403146503e-17,1.40728655019679e-16,2.08248338969866e-15,6.78449453651331e-17,2.24298184158657e-19,4.248399040032e-18,4.4223078736946e-19,1.35070341399246e-21,8.68218026219324e-22,6.24090863419215e-23,3.36305072365759e-23,3.30594217639977e-25,1.92291596337528e-22,1.69551792876966e-22
"ARIndex",0.00283789589415941,0.00946171721325367,0.0635487059233485,0.0924627585453578,0.108994880708765,0.117005523995945,0.110864178667757,0.124329260309104,0.134529416571601,0.13758002783055,0.141777722821452,0.145570290669623,0.146640165796118,0.155372720520557,0.160849099924785,0.16904139389456,0.172335728571454,0.173287906648965,0.173855624565385,0.175442944338244,0.17603334351104,0.174185696548263,0.176543611359482,0.177196986011001,0.176665212383771,0.169481144316776,0.173535234465113,0.168171256214535,0.165167171218041
"Overlap_ATC",0,0,0.0810810810810811,0.108108108108108,0.135135135135135,0.162162162162162,0.135135135135135,0.243243243243243,0.216216216216216,0.189189189189189,0.189189189189189,0.189189189189189,0.189189189189189,0.189189189189189,0.189189189189189,0.189189189189189,0.189189189189189,0.189189189189189,0.189189189189189,0.243243243243243,0.216216216216216,0.216216216216216,0.189189189189189,0.216216216216216,0.216216216216216,0.243243243243243,0.27027027027027,0.243243243243243,0.216216216216216
"Overlap_DT",0,0,0.0869565217391304,0.260869565217391,0.217391304347826,0.217391304347826,0.260869565217391,0.260869565217391,0.391304347826087,0.260869565217391,0.260869565217391,0.347826086956522,0.347826086956522,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.434782608695652,0.434782608695652,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.434782608695652,0.434782608695652,0.434782608695652,0.521739130434783,0.521739130434783,0.521739130434783
