"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"K",17,35,58,83,110,144,180,214,253,291,334,372,405,445,468,503,528,550,565,593,617,636,660,677,692,708,721,734,743
"IncDrugs",1302,1302,1302,1299,1292,1278,1245,1225,1201,1168,1134,1100,1071,1028,1009,975,950,932,915,886,860,841,814,800,785,772,758,742,733
"EnrichedClusters",0,0,0,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
"Percentage",0,0,0,1.37,1.08,0.88,1.72,1.54,1.38,1.33,1.26,1.23,1.2,0.61,0.6,0.59,0.59,0.58,0.58,0.59,0.6,0.6,0.61,0.6,0.6,0.58,1.18,1.2,1.2
"EnrichedClustersDT",0,0,2,1,3,3,4,3,5,3,3,5,5,5,5,5,5,6,6,5,4,4,4,4,4,4,5,5,5
"PercentageDT",0,0,3.92,1.37,3.23,2.65,3.45,2.31,3.45,2,1.89,3.07,2.99,3.05,2.98,2.96,2.96,3.47,3.51,2.94,2.38,2.38,2.42,2.38,2.38,2.34,2.94,2.99,2.99
"Pval_ATC",0.999556404855618,1.10691618959748e-08,0.0901537025314529,0.0921263828120123,0.00577860849495898,0.0756841625408321,0.0659748527102147,0.0425407666521865,0.000483016773303116,0.000318748290411259,0.000530977694769446,0.000724304129895999,0.0411741354467231,0.217399107156119,0.00246973550076834,7.15671709555717e-05,5.93000798520333e-07,1.46549416096912e-07,1.34933996813747e-07,1.89736609825756e-09,7.1140036995219e-07,3.78809326100183e-08,1.74029065297735e-06,2.7531907598606e-06,7.37642603163454e-07,4.5772602704685e-05,6.01575631892697e-06,7.38166668943031e-05,5.13133157500995e-05
"Pval_DT",0.000944656413153046,0.0372820244767757,5.39506894953716e-06,1.8803625039303e-10,1.64694923081382e-09,5.23105807128427e-12,6.79420663207771e-08,5.7225941830079e-10,8.79245246987839e-14,4.69675803499659e-14,9.37316181887391e-14,1.63196141738907e-15,1.7522344652652e-12,1.12411948684379e-14,8.0073943691707e-14,8.98325439756403e-17,1.79604365528612e-16,2.60264078365718e-15,8.63381366837794e-17,3.03379421489425e-19,5.75278734444946e-18,5.99112027834834e-19,1.90706642991502e-21,1.14294339118892e-21,8.0850225837703e-23,4.11358760291662e-23,4.50818311860292e-25,2.57604105828754e-22,2.36998992661253e-22
"ARIndex",0.00238035480239498,0.00932144217845204,0.0621669216742786,0.0899639143757235,0.106683434723089,0.113498999263608,0.107838858802987,0.121024396627562,0.1310622843595,0.135212470963332,0.139138918122242,0.142845631589673,0.142273296998981,0.150567027342439,0.155561660235493,0.163230950009397,0.16627283380262,0.166964508814867,0.167392220851742,0.168554759846064,0.16881463471273,0.166744765053475,0.170764220583863,0.17072986130935,0.170135495555709,0.16292490318147,0.166611510614454,0.161360357055754,0.158450613889156
"Overlap_ATC",0,0,0,0.5,1,1,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1
"Overlap_DT",0,0,0.0434782608695652,0.260869565217391,0.217391304347826,0.217391304347826,0.260869565217391,0.260869565217391,0.391304347826087,0.260869565217391,0.260869565217391,0.347826086956522,0.347826086956522,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.434782608695652,0.434782608695652,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.434782608695652,0.434782608695652,0.434782608695652,0.521739130434783,0.521739130434783,0.521739130434783
