"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"K",69,93,127,151,193,222,261,310,362,396,441,482,532,571,614,633,652,677,694,722,753,768,792,808,824,844,853,866,875
"IncDrugs",1273,1273,1272,1268,1257,1246,1215,1182,1136,1116,1081,1049,1004,966,930,909,892,863,844,818,783,765,737,719,699,679,667,655,641
"EnrichedClusters",4,7,6,9,10,8,11,11,14,15,12,12,13,14,12,10,8,9,9,9,9,8,7,7,6,7,7,6,5
"Percentage",12.12,12.28,6.67,8.18,7.09,5.03,6.59,6.01,7.41,7.39,5.63,5.41,5.73,6.14,5.11,4.29,3.4,3.9,3.93,3.9,3.96,3.57,3.18,3.21,2.8,3.27,3.32,2.83,2.42
"EnrichedClustersDT",0,0,3,3,4,3,4,5,5,6,6,6,6,5,6,5,5,5,5,4,4,5,5,5,4,4,4,3,3
"PercentageDT",0,0,3.33,2.73,2.84,1.89,2.4,2.73,2.65,2.96,2.82,2.7,2.64,2.19,2.55,2.15,2.13,2.16,2.18,1.73,1.76,2.23,2.27,2.29,1.87,1.87,1.9,1.42,1.45
"Pval_ATC",0.000192891622053928,0.00243363475046058,2.29614756541822e-05,4.83731522872611e-08,2.26481500003507e-08,3.97611362057339e-07,1.69396475642362e-07,1.12522295034468e-07,1.93128495433064e-06,2.19494162530939e-07,2.47806729584851e-08,4.95871940717223e-08,1.53875827851427e-09,3.78139501346829e-16,1.25366952259034e-18,1.18311149841626e-20,2.14925831074177e-20,1.10533572031421e-22,8.6108519692986e-25,2.57072209680499e-19,4.2057852753994e-19,1.58565999394641e-20,8.22828024018001e-23,8.87919797472856e-21,6.55242916312593e-19,2.16061759781525e-15,4.87393320785122e-15,8.97239923087139e-13,2.42845328327753e-13
"Pval_DT",5.13726922165633e-11,2.52855266358384e-05,1.02689068646949e-06,5.28758767948124e-08,3.99153183245426e-08,8.32226701576033e-07,3.35670327206327e-08,1.42095870599121e-13,2.20140168860309e-13,4.90961595207825e-18,1.66709169490531e-19,3.44500846106732e-14,4.72338233754395e-17,9.84318729175771e-19,5.76546066724921e-25,1.52921201482993e-25,1.76388318859973e-25,4.35118645967667e-21,9.94424242730713e-23,2.48505295257603e-20,1.73312697332256e-18,3.29322429859349e-21,2.70600790890129e-24,2.87800134869367e-23,1.41580731695319e-20,5.17469616264997e-14,3.03150254550889e-14,3.83903400028225e-11,2.73041865775106e-11
"ARIndex",0.00654784242138864,0.0204176416439638,0.0900223105811091,0.106352793985247,0.109642498624692,0.11012215900303,0.115813253488268,0.133774002348109,0.144331126866429,0.152023071559695,0.155558704704279,0.160757049794103,0.154192228002254,0.147677249391752,0.139578275184361,0.133184751055846,0.13198014036003,0.123403649924832,0.122485426797322,0.110873277163638,0.106597776454954,0.101615588876356,0.0965454708052718,0.0909310591068482,0.0855503662061095,0.0762381653279757,0.0735031352016895,0.0662895577120153,0.065793718565076
"Overlap_ATC",0.027027027027027,0.108108108108108,0.108108108108108,0.189189189189189,0.243243243243243,0.189189189189189,0.27027027027027,0.27027027027027,0.351351351351351,0.324324324324324,0.27027027027027,0.27027027027027,0.27027027027027,0.297297297297297,0.27027027027027,0.27027027027027,0.243243243243243,0.27027027027027,0.243243243243243,0.243243243243243,0.27027027027027,0.243243243243243,0.216216216216216,0.216216216216216,0.216216216216216,0.27027027027027,0.216216216216216,0.189189189189189,0.162162162162162
"Overlap_DT",0,0,0.217391304347826,0.260869565217391,0.304347826086957,0.347826086956522,0.347826086956522,0.521739130434783,0.478260869565217,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.521739130434783,0.478260869565217,0.391304347826087,0.347826086956522,0.391304347826087,0.391304347826087,0.391304347826087,0.347826086956522,0.347826086956522,0.347826086956522,0.304347826086957,0.304347826086957
