"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"K",69,93,127,151,193,222,261,310,362,396,441,482,532,571,614,633,652,677,694,722,753,768,792,808,824,844,853,866,875
"IncDrugs",1273,1273,1272,1268,1257,1246,1215,1182,1136,1116,1081,1049,1004,966,930,909,892,863,844,818,783,765,737,719,699,679,667,655,641
"EnrichedClusters",1,4,7,8,10,7,7,7,9,10,9,8,9,9,7,7,8,8,8,7,7,8,7,7,6,6,6,5,4
"Percentage",3.03,7.02,7.78,7.27,7.09,4.4,4.19,3.83,4.76,4.93,4.23,3.6,3.96,3.95,2.98,3,3.4,3.46,3.49,3.03,3.08,3.57,3.18,3.21,2.8,2.8,2.84,2.36,1.93
"EnrichedClustersDT",0,0,3,3,4,3,4,5,5,6,6,6,6,5,6,5,5,5,5,4,4,5,5,5,4,4,4,3,3
"PercentageDT",0,0,3.33,2.73,2.84,1.89,2.4,2.73,2.65,2.96,2.82,2.7,2.64,2.19,2.55,2.15,2.13,2.16,2.18,1.73,1.76,2.23,2.27,2.29,1.87,1.87,1.9,1.42,1.45
"Pval_ATC",0.428746273662327,0.121749530101422,0.000125311956921819,1.27523591796581e-06,3.74521805880401e-05,4.82770921696685e-06,3.50693602869535e-05,0.000851515033557145,0.00300903603640312,0.000608020348300976,2.74486285610498e-05,0.000140853664999229,6.18245633623333e-05,9.22679087114759e-08,2.01850522312504e-07,1.01652786491175e-07,1.48058174356632e-08,7.88972570343442e-10,1.3258707623391e-10,1.47288140236863e-08,9.20103297141326e-10,2.23909782245612e-10,6.06745585386337e-11,1.67460911946266e-10,3.141253314183e-11,6.7056385691069e-08,2.12381491177652e-07,3.36126672657802e-05,5.49428683672139e-05
"Pval_DT",5.13726922165633e-11,2.52855266358384e-05,1.02689068646949e-06,5.28758767948124e-08,3.99153183245426e-08,8.32226701576033e-07,3.35670327206327e-08,1.42095870599121e-13,2.20140168860309e-13,4.90961595207825e-18,1.66709169490531e-19,3.44500846106732e-14,4.72338233754395e-17,9.84318729175771e-19,5.76546066724921e-25,1.52921201482993e-25,1.76388318859973e-25,4.35118645967667e-21,9.94424242730713e-23,2.48505295257603e-20,1.73312697332256e-18,3.29322429859349e-21,2.70600790890129e-24,2.87800134869367e-23,1.41580731695319e-20,5.17469616264997e-14,3.03150254550889e-14,3.83903400028225e-11,2.73041865775106e-11
"ARIndex",0.00654784242138864,0.0204176416439638,0.0900223105811091,0.106352793985247,0.109642498624692,0.11012215900303,0.115813253488268,0.133774002348109,0.144331126866429,0.152023071559695,0.155558704704279,0.160757049794103,0.154192228002254,0.147677249391752,0.139578275184361,0.133184751055846,0.13198014036003,0.123403649924832,0.122485426797322,0.110873277163638,0.106597776454954,0.101615588876356,0.0965454708052718,0.0909310591068482,0.0855503662061095,0.0762381653279757,0.0735031352016895,0.0662895577120153,0.065793718565076
"Overlap_ATC",0,0.0294117647058824,0.117647058823529,0.176470588235294,0.264705882352941,0.235294117647059,0.205882352941176,0.176470588235294,0.323529411764706,0.294117647058824,0.264705882352941,0.235294117647059,0.294117647058824,0.294117647058824,0.294117647058824,0.205882352941176,0.382352941176471,0.411764705882353,0.352941176470588,0.294117647058824,0.264705882352941,0.235294117647059,0.176470588235294,0.176470588235294,0.235294117647059,0.205882352941176,0.147058823529412,0.147058823529412,0.147058823529412
"Overlap_DT",0,0,0.217391304347826,0.260869565217391,0.304347826086957,0.347826086956522,0.347826086956522,0.521739130434783,0.478260869565217,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.521739130434783,0.478260869565217,0.391304347826087,0.347826086956522,0.391304347826087,0.391304347826087,0.391304347826087,0.347826086956522,0.347826086956522,0.347826086956522,0.304347826086957,0.304347826086957
