"cID"	"DRUGS"
"(+)-chelidonine"	40	"(+)-chelidonine"
"(+)-isoprenaline"	69	"(+)-isoprenaline"
"(+/-)-catechin"	97	"(+/-)-catechin"
"(-)-MK-801"	90	"(-)-MK-801"
"(-)-atenolol"	102	"(-)-atenolol"
"(-)-catechin"	48	"(-)-catechin"
"(-)-isoprenaline"	73	"(-)-isoprenaline"
"0173570-0000"	21	"0173570-0000"
"0175029-0000"	32	"0175029-0000"
"0179445-0000"	62	"0179445-0000"
"0198306-0000"	19	"0198306-0000"
"0297417-0002B"	100	"0297417-0002B"
"0316684-0000"	19	"0316684-0000"
"0317956-0000"	20	"0317956-0000"
"1,4-chrysenequinone"	40	"1,4-chrysenequinone"
"1,5-isoquinolinediol"	60	"1,5-isoquinolinediol"
"11-deoxy-16,16-dimethylprostaglandin_E2"	9	"11-deoxy-16,16-dimethylprostaglandin_E2"
"12,13-EODE"	48	"12,13-EODE"
"15(S)-15-methylprostaglandin_E2"	10	"15(S)-15-methylprostaglandin_E2"
"15-delta_prostaglandin_J2"	104	"15-delta_prostaglandin_J2"
"16,16-dimethylprostaglandin_E2"	19	"16,16-dimethylprostaglandin_E2"
"16-phenyltetranorprostaglandin_E2"	9	"16-phenyltetranorprostaglandin_E2"
"2,6-dimethylpiperidine"	32	"2,6-dimethylpiperidine"
"2-aminobenzenesulfonamide"	57	"2-aminobenzenesulfonamide"
"2-deoxy-D-glucose"	1	"2-deoxy-D-glucose"
"3-acetamidocoumarin"	72	"3-acetamidocoumarin"
"3-acetylcoumarin"	58	"3-acetylcoumarin"
"3-aminobenzamide"	2	"3-aminobenzamide"
"3-hydroxy-DL-kynurenine"	48	"3-hydroxy-DL-kynurenine"
"3-nitropropionic_acid"	18	"3-nitropropionic_acid"
"4,5-dianilinophthalimide"	49	"4,5-dianilinophthalimide"
"4-hydroxyphenazone"	2	"4-hydroxyphenazone"
"5109870"	3	"5109870"
"5114445"	4	"5114445"
"5140203"	5	"5140203"
"5149715"	6	"5149715"
"5151277"	7	"5151277"
"5152487"	6	"5152487"
"5155877"	104	"5155877"
"5162773"	7	"5162773"
"5182598"	3	"5182598"
"5186223"	6	"5186223"
"5186324"	7	"5186324"
"5194442"	104	"5194442"
"5211181"	3	"5211181"
"5213008"	7	"5213008"
"5224221"	40	"5224221"
"5230742"	40	"5230742"
"5248896"	3	"5248896"
"5252917"	48	"5252917"
"5253409"	40	"5253409"
"5255229"	3	"5255229"
"5279552"	3	"5279552"
"5286656"	4	"5286656"
"5666823"	100	"5666823"
"5707885"	62	"5707885"
"6-azathymine"	8	"6-azathymine"
"6-benzylaminopurine"	89	"6-benzylaminopurine"
"6-bromoindirubin-3-oxime"	19	"6-bromoindirubin-3-oxime"
"7-aminocephalosporanic_acid"	68	"7-aminocephalosporanic_acid"
"8-azaguanine"	89	"8-azaguanine"
"AG-012559"	19	"AG-012559"
"AG-013608"	19	"AG-013608"
"AG-028671"	5	"AG-028671"
"AH-23848"	19	"AH-23848"
"AH-6809"	19	"AH-6809"
"AR-A014418"	6	"AR-A014418"
"BAS-012416453"	7	"BAS-012416453"
"BCB000038"	9	"BCB000038"
"BCB000039"	10	"BCB000039"
"BCB000040"	10	"BCB000040"
"BW-B70C"	100	"BW-B70C"
"C-75"	104	"C-75"
"CAY-10397"	19	"CAY-10397"
"CP-319743"	10	"CP-319743"
"CP-320650-01"	11	"CP-320650-01"
"CP-645525-01"	100	"CP-645525-01"
"CP-690334-01"	11	"CP-690334-01"
"CP-863187"	70	"CP-863187"
"CP-944629"	9	"CP-944629"
"Chicago_Sky_Blue_6B"	12	"Chicago_Sky_Blue_6B"
"DL-PPMP"	48	"DL-PPMP"
"DL-thiorphan"	13	"DL-thiorphan"
"F0447-0125"	104	"F0447-0125"
"GW-8510"	14	"GW-8510"
"Gly-His-Lys"	15	"Gly-His-Lys"
"H-7"	14	"H-7"
"H-89"	19	"H-89"
"HC_toxin"	16	"HC_toxin"
"HNMPA-(AM)3"	51	"HNMPA-(AM)3"
"IC-86621"	9	"IC-86621"
"L-methionine_sulfoximine"	95	"L-methionine_sulfoximine"
"LM-1685"	62	"LM-1685"
"LY-294002"	16	"LY-294002"
"MG-132"	40	"MG-132"
"MG-262"	40	"MG-262"
"MK-886"	43	"MK-886"
"MS-275"	14	"MS-275"
"N-acetyl-L-aspartic_acid"	5	"N-acetyl-L-aspartic_acid"
"N-acetyl-L-leucine"	89	"N-acetyl-L-leucine"
"N-acetylmuramic_acid"	47	"N-acetylmuramic_acid"
"NS-398"	23	"NS-398"
"NU-1025"	17	"NU-1025"
"PF-00562151-00"	19	"PF-00562151-00"
"PF-00875133-00"	40	"PF-00875133-00"
"PF-01378883-00"	18	"PF-01378883-00"
"PHA-00665752"	19	"PHA-00665752"
"PHA-00745360"	11	"PHA-00745360"
"PHA-00767505E"	19	"PHA-00767505E"
"PHA-00816795"	19	"PHA-00816795"
"PHA-00846566E"	40	"PHA-00846566E"
"PHA-00851261E"	20	"PHA-00851261E"
"PNU-0230031"	21	"PNU-0230031"
"PNU-0251126"	21	"PNU-0251126"
"PNU-0293363"	21	"PNU-0293363"
"Prestwick-1080"	22	"Prestwick-1080"
"Prestwick-1082"	7	"Prestwick-1082"
"Prestwick-1083"	82	"Prestwick-1083"
"Prestwick-1084"	90	"Prestwick-1084"
"Prestwick-1085"	71	"Prestwick-1085"
"Prestwick-1100"	22	"Prestwick-1100"
"Prestwick-559"	61	"Prestwick-559"
"Prestwick-642"	92	"Prestwick-642"
"Prestwick-664"	32	"Prestwick-664"
"Prestwick-665"	32	"Prestwick-665"
"Prestwick-674"	90	"Prestwick-674"
"Prestwick-675"	6	"Prestwick-675"
"Prestwick-682"	36	"Prestwick-682"
"Prestwick-685"	58	"Prestwick-685"
"Prestwick-689"	42	"Prestwick-689"
"Prestwick-691"	105	"Prestwick-691"
"Prestwick-692"	27	"Prestwick-692"
"Prestwick-860"	52	"Prestwick-860"
"Prestwick-864"	30	"Prestwick-864"
"Prestwick-920"	41	"Prestwick-920"
"Prestwick-967"	67	"Prestwick-967"
"Prestwick-972"	35	"Prestwick-972"
"Prestwick-981"	54	"Prestwick-981"
"Prestwick-983"	106	"Prestwick-983"
"Prestwick-984"	22	"Prestwick-984"
"R-atenolol"	89	"R-atenolol"
"S-propranolol"	100	"S-propranolol"
"SB-202190"	19	"SB-202190"
"SB-203580"	23	"SB-203580"
"SC-19220"	23	"SC-19220"
"SC-58125"	60	"SC-58125"
"SR-95531"	31	"SR-95531"
"SR-95639A"	12	"SR-95639A"
"STOCK1N-28457"	19	"STOCK1N-28457"
"STOCK1N-35215"	104	"STOCK1N-35215"
"STOCK1N-35696"	19	"STOCK1N-35696"
"STOCK1N-35874"	15	"STOCK1N-35874"
"TTNPB"	98	"TTNPB"
"Trolox_C"	61	"Trolox_C"
"U0125"	24	"U0125"
"W-13"	94	"W-13"
"Y-27632"	40	"Y-27632"
"abamectin"	62	"abamectin"
"acacetin"	32	"acacetin"
"acebutolol"	60	"acebutolol"
"aceclofenac"	6	"aceclofenac"
"acemetacin"	37	"acemetacin"
"acenocoumarol"	76	"acenocoumarol"
"acepromazine"	90	"acepromazine"
"acetazolamide"	25	"acetazolamide"
"acetohexamide"	74	"acetohexamide"
"acetylsalicylic_acid"	32	"acetylsalicylic_acid"
"acetylsalicylsalicylic_acid"	76	"acetylsalicylsalicylic_acid"
"aciclovir"	26	"aciclovir"
"adenosine_phosphate"	19	"adenosine_phosphate"
"adiphenine"	27	"adiphenine"
"adipiodone"	86	"adipiodone"
"adrenosterone"	90	"adrenosterone"
"ajmaline"	42	"ajmaline"
"albendazole"	100	"albendazole"
"alcuronium_chloride"	59	"alcuronium_chloride"
"alexidine"	100	"alexidine"
"alfadolone"	35	"alfadolone"
"alfaxalone"	82	"alfaxalone"
"alfuzosin"	73	"alfuzosin"
"alimemazine"	100	"alimemazine"
"allantoin"	41	"allantoin"
"alpha-ergocryptine"	11	"alpha-ergocryptine"
"alpha-estradiol"	49	"alpha-estradiol"
"alpha-yohimbine"	13	"alpha-yohimbine"
"alprenolol"	19	"alprenolol"
"alprostadil"	106	"alprostadil"
"alsterpaullone"	14	"alsterpaullone"
"altizide"	89	"altizide"
"altretamine"	102	"altretamine"
"alverine"	90	"alverine"
"alvespimycin"	28	"alvespimycin"
"amantadine"	36	"amantadine"
"ambroxol"	29	"ambroxol"
"amikacin"	29	"amikacin"
"amiloride"	69	"amiloride"
"aminocaproic_acid"	35	"aminocaproic_acid"
"aminoglutethimide"	5	"aminoglutethimide"
"aminohippuric_acid"	58	"aminohippuric_acid"
"aminophenazone"	34	"aminophenazone"
"aminophylline"	90	"aminophylline"
"amiodarone"	90	"amiodarone"
"amiprilose"	30	"amiprilose"
"amitriptyline"	100	"amitriptyline"
"amodiaquine"	60	"amodiaquine"
"amoxapine"	100	"amoxapine"
"amoxicillin"	32	"amoxicillin"
"amphotericin_B"	100	"amphotericin_B"
"amprolium"	31	"amprolium"
"ampyrone"	42	"ampyrone"
"amrinone"	7	"amrinone"
"amylocaine"	97	"amylocaine"
"anabasine"	90	"anabasine"
"androsterone"	88	"androsterone"
"anisomycin"	53	"anisomycin"
"antimycin_A"	62	"antimycin_A"
"apigenin"	32	"apigenin"
"apomorphine"	3	"apomorphine"
"apramycin"	90	"apramycin"
"arachidonic_acid"	78	"arachidonic_acid"
"arachidonyltrifluoromethane"	1	"arachidonyltrifluoromethane"
"arcaine"	99	"arcaine"
"arecoline"	33	"arecoline"
"artemisinin"	4	"artemisinin"
"articaine"	35	"articaine"
"asiaticoside"	79	"asiaticoside"
"astemizole"	34	"astemizole"
"atovaquone"	99	"atovaquone"
"atractyloside"	38	"atractyloside"
"atracurium_besilate"	25	"atracurium_besilate"
"atropine"	13	"atropine"
"atropine_methonitrate"	35	"atropine_methonitrate"
"atropine_oxide"	34	"atropine_oxide"
"azacitidine"	14	"azacitidine"
"azacyclonol"	62	"azacyclonol"
"azaperone"	85	"azaperone"
"azapropazone"	86	"azapropazone"
"azathioprine"	5	"azathioprine"
"azlocillin"	5	"azlocillin"
"aztreonam"	64	"aztreonam"
"bacampicillin"	47	"bacampicillin"
"bacitracin"	54	"bacitracin"
"bambuterol"	60	"bambuterol"
"beclometasone"	92	"beclometasone"
"bemegride"	52	"bemegride"
"bendroflumethiazide"	52	"bendroflumethiazide"
"benfluorex"	19	"benfluorex"
"benfotiamine"	50	"benfotiamine"
"benperidol"	95	"benperidol"
"benserazide"	94	"benserazide"
"benzamil"	62	"benzamil"
"benzathine_benzylpenicillin"	72	"benzathine_benzylpenicillin"
"benzethonium_chloride"	100	"benzethonium_chloride"
"benzocaine"	36	"benzocaine"
"benzonatate"	25	"benzonatate"
"benzthiazide"	58	"benzthiazide"
"benzydamine"	7	"benzydamine"
"benzylpenicillin"	85	"benzylpenicillin"
"bephenium_hydroxynaphthoate"	52	"bephenium_hydroxynaphthoate"
"bepridil"	100	"bepridil"
"berberine"	4	"berberine"
"bergenin"	5	"bergenin"
"beta-escin"	90	"beta-escin"
"betahistine"	52	"betahistine"
"betamethasone"	5	"betamethasone"
"betaxolol"	42	"betaxolol"
"betazole"	40	"betazole"
"bethanechol"	87	"bethanechol"
"betonicine"	66	"betonicine"
"betulin"	79	"betulin"
"betulinic_acid"	43	"betulinic_acid"
"bezafibrate"	90	"bezafibrate"
"bicuculline"	92	"bicuculline"
"biotin"	102	"biotin"
"biperiden"	81	"biperiden"
"bisacodyl"	63	"bisacodyl"
"bisoprolol"	5	"bisoprolol"
"blebbistatin"	3	"blebbistatin"
"boldine"	29	"boldine"
"bretylium_tosilate"	90	"bretylium_tosilate"
"bromocriptine"	73	"bromocriptine"
"bromopride"	14	"bromopride"
"bromperidol"	4	"bromperidol"
"brompheniramine"	12	"brompheniramine"
"bucladesine"	2	"bucladesine"
"budesonide"	61	"budesonide"
"bufexamac"	16	"bufexamac"
"buflomedil"	58	"buflomedil"
"bumetanide"	37	"bumetanide"
"bupivacaine"	37	"bupivacaine"
"bupropion"	13	"bupropion"
"buspirone"	7	"buspirone"
"butacaine"	4	"butacaine"
"butamben"	84	"butamben"
"butein"	51	"butein"
"butirosin"	39	"butirosin"
"butoconazole"	62	"butoconazole"
"butyl_hydroxybenzoate"	58	"butyl_hydroxybenzoate"
"caffeic_acid"	19	"caffeic_acid"
"calcium_folinate"	38	"calcium_folinate"
"calcium_pantothenate"	32	"calcium_pantothenate"
"calmidazolium"	100	"calmidazolium"
"calycanthine"	6	"calycanthine"
"camptothecin"	14	"camptothecin"
"canadine"	29	"canadine"
"canavanine"	99	"canavanine"
"canrenoic_acid"	4	"canrenoic_acid"
"cantharidin"	89	"cantharidin"
"capsaicin"	90	"capsaicin"
"carbachol"	52	"carbachol"
"carbamazepine"	4	"carbamazepine"
"carbarsone"	68	"carbarsone"
"carbenoxolone"	97	"carbenoxolone"
"carbimazole"	27	"carbimazole"
"carbinoxamine"	39	"carbinoxamine"
"carcinine"	68	"carcinine"
"carisoprodol"	12	"carisoprodol"
"carmustine"	104	"carmustine"
"carteolol"	33	"carteolol"
"cefaclor"	72	"cefaclor"
"cefadroxil"	95	"cefadroxil"
"cefalexin"	90	"cefalexin"
"cefalonium"	67	"cefalonium"
"cefalotin"	32	"cefalotin"
"cefamandole"	21	"cefamandole"
"cefapirin"	7	"cefapirin"
"cefazolin"	5	"cefazolin"
"cefixime"	47	"cefixime"
"cefmetazole"	84	"cefmetazole"
"ceforanide"	29	"ceforanide"
"cefotaxime"	31	"cefotaxime"
"cefotetan"	7	"cefotetan"
"cefotiam"	29	"cefotiam"
"cefoxitin"	83	"cefoxitin"
"cefsulodin"	52	"cefsulodin"
"ceftazidime"	61	"ceftazidime"
"cefuroxime"	13	"cefuroxime"
"celastrol"	40	"celastrol"
"celecoxib"	65	"celecoxib"
"cephaeline"	53	"cephaeline"
"cetirizine"	90	"cetirizine"
"chenodeoxycholic_acid"	37	"chenodeoxycholic_acid"
"chlorambucil"	22	"chlorambucil"
"chloramphenicol"	41	"chloramphenicol"
"chlorcyclizine"	100	"chlorcyclizine"
"chlorhexidine"	42	"chlorhexidine"
"chlorogenic_acid"	27	"chlorogenic_acid"
"chloropyrazine"	71	"chloropyrazine"
"chloroquine"	48	"chloroquine"
"chlorphenamine"	34	"chlorphenamine"
"chlorphenesin"	60	"chlorphenesin"
"chlorpromazine"	100	"chlorpromazine"
"chlorprothixene"	100	"chlorprothixene"
"chlortalidone"	83	"chlortalidone"
"chlortetracycline"	42	"chlortetracycline"
"chlorzoxazone"	42	"chlorzoxazone"
"chrysin"	32	"chrysin"
"ciclacillin"	22	"ciclacillin"
"cicloheximide"	53	"cicloheximide"
"ciclopirox"	3	"ciclopirox"
"ciclosporin"	43	"ciclosporin"
"cimetidine"	31	"cimetidine"
"cinchocaine"	52	"cinchocaine"
"cinchonidine"	5	"cinchonidine"
"cinchonine"	29	"cinchonine"
"cinnarizine"	7	"cinnarizine"
"cinoxacin"	52	"cinoxacin"
"ciprofibrate"	71	"ciprofibrate"
"ciprofloxacin"	5	"ciprofloxacin"
"cisapride"	52	"cisapride"
"citalopram"	11	"citalopram"
"citiolone"	59	"citiolone"
"clebopride"	33	"clebopride"
"clemastine"	100	"clemastine"
"clemizole"	101	"clemizole"
"clenbuterol"	88	"clenbuterol"
"clidinium_bromide"	83	"clidinium_bromide"
"clindamycin"	42	"clindamycin"
"clioquinol"	62	"clioquinol"
"clobetasol"	90	"clobetasol"
"clofazimine"	62	"clofazimine"
"clofibrate"	78	"clofibrate"
"clofilium_tosylate"	100	"clofilium_tosylate"
"clomifene"	100	"clomifene"
"clomipramine"	60	"clomipramine"
"clonidine"	13	"clonidine"
"clopamide"	42	"clopamide"
"cloperastine"	100	"cloperastine"
"clorgiline"	90	"clorgiline"
"clorsulon"	27	"clorsulon"
"clotrimazole"	62	"clotrimazole"
"cloxacillin"	80	"cloxacillin"
"clozapine"	100	"clozapine"
"co-dergocrine_mesilate"	100	"co-dergocrine_mesilate"
"cobalt_chloride"	44	"cobalt_chloride"
"colchicine"	69	"colchicine"
"colecalciferol"	90	"colecalciferol"
"colforsin"	3	"colforsin"
"colistin"	99	"colistin"
"conessine"	105	"conessine"
"convolamine"	5	"convolamine"
"copper_sulfate"	45	"copper_sulfate"
"coralyne"	33	"coralyne"
"corbadrine"	46	"corbadrine"
"corticosterone"	6	"corticosterone"
"cortisone"	90	"cortisone"
"corynanthine"	31	"corynanthine"
"cotinine"	19	"cotinine"
"crotamiton"	52	"crotamiton"
"cyanocobalamin"	47	"cyanocobalamin"
"cyclizine"	61	"cyclizine"
"cyclobenzaprine"	100	"cyclobenzaprine"
"cyclopenthiazide"	96	"cyclopenthiazide"
"cycloserine"	90	"cycloserine"
"cyproheptadine"	40	"cyproheptadine"
"cyproterone"	90	"cyproterone"
"cytochalasin_B"	100	"cytochalasin_B"
"dacarbazine"	89	"dacarbazine"
"danazol"	42	"danazol"
"dantrolene"	56	"dantrolene"
"dapsone"	27	"dapsone"
"daunorubicin"	14	"daunorubicin"
"debrisoquine"	6	"debrisoquine"
"decamethonium_bromide"	72	"decamethonium_bromide"
"decitabine"	4	"decitabine"
"deferoxamine"	3	"deferoxamine"
"dehydrocholic_acid"	19	"dehydrocholic_acid"
"delsoline"	85	"delsoline"
"demeclocycline"	13	"demeclocycline"
"demecolcine"	48	"demecolcine"
"denatonium_benzoate"	90	"denatonium_benzoate"
"deptropine"	19	"deptropine"
"depudecin"	4	"depudecin"
"dequalinium_chloride"	62	"dequalinium_chloride"
"desipramine"	100	"desipramine"
"desoxycortone"	89	"desoxycortone"
"dexibuprofen"	73	"dexibuprofen"
"dexpanthenol"	25	"dexpanthenol"
"dexpropranolol"	90	"dexpropranolol"
"dextromethorphan"	32	"dextromethorphan"
"dexverapamil"	49	"dexverapamil"
"diazoxide"	7	"diazoxide"
"diclofenac"	13	"diclofenac"
"diclofenamide"	15	"diclofenamide"
"dicloxacillin"	103	"dicloxacillin"
"dicoumarol"	50	"dicoumarol"
"dicycloverine"	40	"dicycloverine"
"dienestrol"	40	"dienestrol"
"diethylcarbamazine"	37	"diethylcarbamazine"
"diethylstilbestrol"	43	"diethylstilbestrol"
"difenidol"	90	"difenidol"
"diflorasone"	105	"diflorasone"
"diflunisal"	7	"diflunisal"
"digitoxigenin"	63	"digitoxigenin"
"digoxigenin"	63	"digoxigenin"
"digoxin"	63	"digoxin"
"dihydroergocristine"	100	"dihydroergocristine"
"dihydroergotamine"	34	"dihydroergotamine"
"dilazep"	11	"dilazep"
"diltiazem"	73	"diltiazem"
"dimenhydrinate"	37	"dimenhydrinate"
"dimethadione"	52	"dimethadione"
"dimethyloxalylglycine"	51	"dimethyloxalylglycine"
"dinoprost"	106	"dinoprost"
"dinoprostone"	19	"dinoprostone"
"dioxybenzone"	102	"dioxybenzone"
"diperodon"	100	"diperodon"
"diphemanil_metilsulfate"	6	"diphemanil_metilsulfate"
"diphenhydramine"	79	"diphenhydramine"
"diphenylpyraline"	100	"diphenylpyraline"
"dipivefrine"	19	"dipivefrine"
"diprophylline"	16	"diprophylline"
"dipyridamole"	89	"dipyridamole"
"dirithromycin"	42	"dirithromycin"
"disopyramide"	19	"disopyramide"
"disulfiram"	40	"disulfiram"
"dl-alpha_tocopherol"	68	"dl-alpha_tocopherol"
"dobutamine"	69	"dobutamine"
"docosahexaenoic_acid_ethyl_ester"	24	"docosahexaenoic_acid_ethyl_ester"
"domperidone"	88	"domperidone"
"dopamine"	44	"dopamine"
"dorzolamide"	58	"dorzolamide"
"dosulepin"	34	"dosulepin"
"doxazosin"	52	"doxazosin"
"doxepin"	100	"doxepin"
"doxorubicin"	14	"doxorubicin"
"doxycycline"	83	"doxycycline"
"doxylamine"	31	"doxylamine"
"drofenine"	39	"drofenine"
"droperidol"	7	"droperidol"
"dropropizine"	37	"dropropizine"
"dyclonine"	40	"dyclonine"
"dydrogesterone"	52	"dydrogesterone"
"ebselen"	46	"ebselen"
"econazole"	40	"econazole"
"edrophonium_chloride"	52	"edrophonium_chloride"
"eldeline"	59	"eldeline"
"ellipticine"	14	"ellipticine"
"emetine"	53	"emetine"
"enalapril"	37	"enalapril"
"enilconazole"	35	"enilconazole"
"enoxacin"	29	"enoxacin"
"epiandrosterone"	81	"epiandrosterone"
"epirizole"	25	"epirizole"
"epitiostanol"	67	"epitiostanol"
"epivincamine"	89	"epivincamine"
"equilin"	43	"equilin"
"erastin"	62	"erastin"
"erythromycin"	19	"erythromycin"
"esculetin"	54	"esculetin"
"esculin"	52	"esculin"
"estradiol"	6	"estradiol"
"estriol"	85	"estriol"
"estrone"	43	"estrone"
"estropipate"	55	"estropipate"
"etacrynic_acid"	104	"etacrynic_acid"
"etamivan"	61	"etamivan"
"etamsylate"	89	"etamsylate"
"etanidazole"	90	"etanidazole"
"ethambutol"	8	"ethambutol"
"ethaverine"	52	"ethaverine"
"ethionamide"	92	"ethionamide"
"ethisterone"	56	"ethisterone"
"ethosuximide"	90	"ethosuximide"
"ethotoin"	32	"ethotoin"
"ethoxyquin"	50	"ethoxyquin"
"eticlopride"	57	"eticlopride"
"etidronic_acid"	32	"etidronic_acid"
"etifenin"	8	"etifenin"
"etilefrine"	106	"etilefrine"
"etiocholanolone"	27	"etiocholanolone"
"etodolac"	6	"etodolac"
"etofenamate"	90	"etofenamate"
"etofylline"	41	"etofylline"
"etomidate"	85	"etomidate"
"etoposide"	3	"etoposide"
"eucatropine"	90	"eucatropine"
"exemestane"	49	"exemestane"
"exisulind"	91	"exisulind"
"famotidine"	60	"famotidine"
"famprofazone"	90	"famprofazone"
"fasudil"	1	"fasudil"
"felbinac"	57	"felbinac"
"felodipine"	62	"felodipine"
"fenbendazole"	69	"fenbendazole"
"fenbufen"	58	"fenbufen"
"fendiline"	40	"fendiline"
"fenofibrate"	37	"fenofibrate"
"fenoprofen"	58	"fenoprofen"
"fenoterol"	73	"fenoterol"
"fenspiride"	74	"fenspiride"
"finasteride"	26	"finasteride"
"fipexide"	61	"fipexide"
"fisetin"	14	"fisetin"
"flavoxate"	82	"flavoxate"
"flecainide"	50	"flecainide"
"florfenicol"	102	"florfenicol"
"flucloxacillin"	86	"flucloxacillin"
"flucytosine"	102	"flucytosine"
"fludrocortisone"	29	"fludrocortisone"
"fludroxycortide"	59	"fludroxycortide"
"flufenamic_acid"	13	"flufenamic_acid"
"flumequine"	89	"flumequine"
"flumetasone"	58	"flumetasone"
"flunarizine"	90	"flunarizine"
"flunisolide"	59	"flunisolide"
"flunixin"	32	"flunixin"
"fluocinonide"	90	"fluocinonide"
"fluorocurarine"	52	"fluorocurarine"
"fluorometholone"	90	"fluorometholone"
"fluoxetine"	100	"fluoxetine"
"flupentixol"	100	"flupentixol"
"fluphenazine"	100	"fluphenazine"
"flurbiprofen"	102	"flurbiprofen"
"fluspirilene"	100	"fluspirilene"
"flutamide"	93	"flutamide"
"fluticasone"	72	"fluticasone"
"fluvastatin"	102	"fluvastatin"
"fluvoxamine"	100	"fluvoxamine"
"foliosidine"	62	"foliosidine"
"fosfosal"	99	"fosfosal"
"fulvestrant"	28	"fulvestrant"
"furaltadone"	90	"furaltadone"
"furazolidone"	97	"furazolidone"
"furosemide"	29	"furosemide"
"fursultiamine"	72	"fursultiamine"
"fusaric_acid"	8	"fusaric_acid"
"fusidic_acid"	16	"fusidic_acid"
"gabapentin"	46	"gabapentin"
"gabexate"	36	"gabexate"
"galantamine"	99	"galantamine"
"gallamine_triethiodide"	14	"gallamine_triethiodide"
"ganciclovir"	90	"ganciclovir"
"gefitinib"	60	"gefitinib"
"geldanamycin"	28	"geldanamycin"
"gelsemine"	105	"gelsemine"
"gemfibrozil"	31	"gemfibrozil"
"genistein"	19	"genistein"
"gibberellic_acid"	67	"gibberellic_acid"
"ginkgolide_A"	89	"ginkgolide_A"
"glafenine"	19	"glafenine"
"glibenclamide"	42	"glibenclamide"
"gliclazide"	61	"gliclazide"
"glipizide"	19	"glipizide"
"gliquidone"	35	"gliquidone"
"glycocholic_acid"	19	"glycocholic_acid"
"glycopyrronium_bromide"	38	"glycopyrronium_bromide"
"gossypol"	62	"gossypol"
"gramine"	13	"gramine"
"griseofulvin"	93	"griseofulvin"
"guaifenesin"	3	"guaifenesin"
"guanabenz"	26	"guanabenz"
"guanadrel"	38	"guanadrel"
"guanethidine"	60	"guanethidine"
"guanfacine"	68	"guanfacine"
"halcinonide"	59	"halcinonide"
"halofantrine"	54	"halofantrine"
"haloperidol"	5	"haloperidol"
"harmaline"	19	"harmaline"
"harman"	32	"harman"
"harmine"	32	"harmine"
"harmol"	32	"harmol"
"harpagoside"	72	"harpagoside"
"hecogenin"	46	"hecogenin"
"heliotrine"	32	"heliotrine"
"helveticoside"	63	"helveticoside"
"heptaminol"	79	"heptaminol"
"hesperetin"	19	"hesperetin"
"hesperidin"	73	"hesperidin"
"hexamethonium_bromide"	60	"hexamethonium_bromide"
"hexestrol"	90	"hexestrol"
"hexetidine"	100	"hexetidine"
"hexylcaine"	6	"hexylcaine"
"homatropine"	27	"homatropine"
"homochlorcyclizine"	100	"homochlorcyclizine"
"homosalate"	22	"homosalate"
"hycanthone"	3	"hycanthone"
"hydralazine"	74	"hydralazine"
"hydrastine_hydrochloride"	13	"hydrastine_hydrochloride"
"hydrastinine"	42	"hydrastinine"
"hydrochlorothiazide"	12	"hydrochlorothiazide"
"hydrocortisone"	102	"hydrocortisone"
"hydrocotarnine"	89	"hydrocotarnine"
"hydroflumethiazide"	4	"hydroflumethiazide"
"hydroquinine"	63	"hydroquinine"
"hydroxyachillin"	13	"hydroxyachillin"
"hydroxyzine"	6	"hydroxyzine"
"hyoscyamine"	64	"hyoscyamine"
"idazoxan"	31	"idazoxan"
